City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Sargatskoye,RU,55.6101,73.4972,21.61,94,100,15.46,overcast clouds
257,Salvador,SV,13.8333,-88.9167,73.8,75,83,2.95,broken clouds
258,Abu Samrah,SY,35.3029,37.1841,39.34,93,100,11.86,overcast clouds
259,Lamu,KE,-2.2717,40.902,82.62,90,1,8.25,clear sky
260,Shingu,JP,33.7333,135.9833,60.26,58,76,4.99,broken clouds
261,Mikhaylovsk,RU,45.1283,42.0256,30.42,100,100,4.47,snow
262,Balkhash,KZ,46.844,74.9804,32.61,74,0,6.71,clear sky
263,Juneau,US,58.3019,-134.4197,42.8,85,100,9.22,overcast clouds
264,Springbok,ZA,-29.6643,17.8865,58.66,76,0,1.83,clear sky
265,Lamar,US,33.6668,-95.5836,53.51,40,0,5.75,clear sky
266,Corner Brook,CA,48.9667,-57.9484,23.16,97,100,3.36,overcast clouds
267,Puerto Madryn,AR,-42.7692,-65.0385,56.55,65,0,7.25,clear sky
268,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,86,100,8.05,overcast clouds
269,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,31.07,light snow
270,Hakkari,TR,37.5833,44.1667,15.08,98,95,1.81,overcast clouds
271,Rio Grande,BR,-32.035,-52.0986,66.94,63,100,16.28,overcast clouds
272,Tahoua,NE,14.8888,5.2692,77.09,13,0,14.36,clear sky
273,Norman Wells,CA,65.282,-126.8329,3.24,55,20,5.75,few clouds
274,Kasongo,CD,-4.45,26.6667,67.93,92,100,2.26,light rain
275,Lixourion,GR,38.2019,20.4314,54.61,76,0,10.4,clear sky
276,Provideniya,RU,64.3833,-173.3,14.36,73,20,11.18,few clouds
277,Roma,US,43.2128,-75.4557,42.96,91,100,5.75,overcast clouds
278,Eastbourne,GB,50.7687,0.2845,49.48,58,5,9.24,clear sky
279,Pangnirtung,CA,66.1451,-65.7125,2.8,99,100,2.15,overcast clouds
280,Port Blair,IN,11.6667,92.75,86.04,66,20,2.3,haze
281,Hailar,CN,49.2,119.7,28.44,90,91,8.16,overcast clouds
282,Genhe,CN,50.7833,121.5167,32.56,76,100,6.85,light snow
283,Marondera,ZW,-18.1853,31.5519,56.95,89,0,1.92,clear sky
284,Edson,CA,53.5835,-116.4356,30.31,55,0,0.0,clear sky
285,Asau,RO,46.4333,26.4,31.28,75,6,4.9,clear sky
286,Honiara,SB,-9.4333,159.95,82.94,80,82,3.51,broken clouds
287,Antofagasta,CL,-23.65,-70.4,61.88,81,38,4.47,scattered clouds
288,Vila Velha,BR,-20.3297,-40.2925,75.15,100,100,2.3,overcast clouds
289,Xanxere,BR,-26.8769,-52.4042,60.71,97,100,3.33,overcast clouds
290,Gangapur,IN,26.4833,76.7167,83.52,15,1,0.69,clear sky
291,Soe,ID,-9.8607,124.284,79.95,63,47,4.36,heavy intensity rain
292,Talnakh,RU,69.4865,88.3972,11.21,92,100,11.07,overcast clouds
293,Minab,IR,27.1467,57.0801,79.02,28,0,2.91,clear sky
294,Katangli,RU,51.7102,143.2326,32.41,93,14,4.07,few clouds
295,Hambantota,LK,6.1241,81.1185,82.09,70,16,7.78,few clouds
296,Saint George,US,37.1041,-113.5841,72.95,18,0,5.99,clear sky
297,Zhigansk,RU,66.7697,123.3711,10.67,84,49,5.48,scattered clouds
298,Eregli,TR,37.5133,34.0467,29.97,94,100,2.01,light snow
299,Te Anau,NZ,-45.4167,167.7167,65.61,45,12,2.98,few clouds
300,Lundazi,ZM,-12.2929,33.1782,61.61,93,97,3.44,overcast clouds
301,Barranca,PE,-10.75,-77.7667,69.96,80,100,7.49,overcast clouds
302,Bereda,ES,43.2686,-7.5406,44.58,100,62,3.06,broken clouds
303,Kaitangata,NZ,-46.2817,169.8464,62.55,53,14,5.5,few clouds
304,Portland,US,45.5234,-122.6762,58.66,69,0,0.0,clear sky
305,Lakes Entrance,AU,-37.8811,147.981,65.82,59,3,6.11,clear sky
306,Katsuura,JP,35.1333,140.3,57.29,50,37,8.95,scattered clouds
307,Axim,GH,4.8699,-2.2405,79.2,86,84,4.16,broken clouds
308,Aloleng,PH,16.1307,119.7824,86.52,63,19,7.94,few clouds
309,Neuquen,AR,-38.9516,-68.0591,60.64,31,0,6.04,clear sky
310,Roald,NO,62.5833,6.1333,48.33,93,100,26.46,mist
311,Sonari,IN,27.0667,95.0333,66.25,42,71,1.72,broken clouds
312,Mount Gambier,AU,-37.8333,140.7667,69.42,45,15,8.03,few clouds
313,Anloga,GH,5.7947,0.8973,82.2,82,84,12.57,broken clouds
314,Cairns,AU,-16.9167,145.7667,90.07,66,40,6.91,scattered clouds
315,Luena,AO,-11.7833,19.9167,59.83,95,47,3.67,scattered clouds
316,Sivaki,RU,52.6333,126.75,29.64,74,100,6.76,overcast clouds
317,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.14,85,1,12.21,clear sky
318,Quatre Cocos,MU,-20.2078,57.7625,79.09,74,41,8.34,scattered clouds
319,Montevideo,UY,-34.8335,-56.1674,55.11,76,75,4.61,broken clouds
320,Broken Hill,AU,-31.95,141.4333,72.61,28,0,15.01,clear sky
321,Bakchar,RU,57.0186,82.0711,19.38,95,93,6.98,overcast clouds
322,Nantucket,US,41.2835,-70.0995,53.71,98,100,17.27,mist
323,Serravalle Pistoiese,IT,43.9061,10.8327,52.72,57,1,2.37,clear sky
324,Arman,RU,59.7,150.1667,23.02,83,87,4.25,overcast clouds
325,Provost,CA,52.3501,-110.2683,37.85,72,6,11.59,clear sky
326,Halifax,CA,44.6453,-63.5724,35.22,88,100,11.5,overcast clouds
327,Yar-Sale,RU,66.8333,70.8333,4.64,95,100,4.47,overcast clouds
328,Basoko,CD,1.2391,23.616,72.19,87,18,1.72,few clouds
329,Jieshi,CN,22.8134,115.8257,64.94,91,94,12.19,overcast clouds
330,Bakel,SN,14.905,-12.4568,81.68,12,0,11.59,clear sky
331,Chernyshevskiy,RU,63.0128,112.4714,18.91,88,84,5.7,broken clouds
332,Betsiamites,CA,48.9413,-68.646,32.4,99,100,9.51,snow
333,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,75,23.76,broken clouds
334,Saint-Francois,FR,46.4154,3.9054,31.44,93,2,1.14,mist
335,Miramar,US,25.9873,-80.2323,80.6,79,100,8.05,overcast clouds
336,Henties Bay,NA,-22.116,14.2845,63.95,89,1,3.96,clear sky
337,Opuwo,NA,-18.0607,13.84,64.36,84,30,2.15,scattered clouds
338,Kincardine,GB,56.0667,-3.7167,47.19,93,32,3.44,scattered clouds
339,Guilin,CN,25.2819,110.2864,66.31,98,100,1.19,overcast clouds
340,Broome,US,42.2506,-75.833,47.37,80,100,1.01,moderate rain
341,Dannenberg,DE,53.0967,11.09,38.14,66,4,1.57,clear sky
342,Taltal,CL,-25.4,-70.4833,65.23,79,3,3.31,clear sky
343,Kearney,US,40.6995,-99.0815,48.25,31,20,4.61,few clouds
344,Chatham,GB,51.3789,0.5279,48.31,76,0,1.01,clear sky
345,Iqaluit,CA,63.7506,-68.5145,4.73,71,40,3.44,scattered clouds
346,Khandbari,NP,27.3747,87.2039,76.3,20,0,3.11,clear sky
